REG_ANS,Razão Social,Qt_Beneficiários,Modalidade,Ano,IDSS,IDAS,IDEF,IDEO,IDGA,IDGR,IDQS,IDSB,IDSM,Uniodonto,Qt_Beneficiários_antigo
000582,PORTO SEGURO - SEGURO SAÚDE S/A,610544,Seguradora Especializada em Saúde,2020,0.8091,,,,0.5457,0.8473,0.8690,,1.0000,NÃO,2303968
000582,PORTO SEGURO - SEGURO SAÚDE S/A,641327,Seguradora Especializada em Saúde,2021,0.7913,,,,0.4867,0.8851,0.8558,,1.0000,NÃO,2553792
000582,PORTO SEGURO - SEGURO SAÚDE S/A,666273,Seguradora Especializada em Saúde,2022,0.8182,,,,0.4684,0.8835,0.9645,,1.0000,NÃO,2589992
000582,PORTO SEGURO - SEGURO SAÚDE S/A,774601,Seguradora Especializada em Saúde,2023,0.8108,,,,0.4857,0.9298,0.9070,,1.0000,NÃO,2859301
000582,PORTO SEGURO - SEGURO SAÚDE S/A,974666,Seguradora Especializada em Saúde,2024,0.7081,,,,0.4714,0.5500,0.7209,,0.9849,NÃO,3541177
000582,PORTO SEGURO - SEGURO SAÚDE S/A,1101753,Seguradora Especializada em Saúde,2025,0.7953,,,,0.5188,0.8617,0.8605,,0.9843,NÃO,3160725
005622,SULASAÚDE PARTICIPAÇÕES S.A.,10566,Seguradora Especializada em Saúde,2011,,,,,,,,,,NÃO,35217
005622,SULASAÚDE PARTICIPAÇÕES S.A.,10969,Seguradora Especializada em Saúde,2012,0.4901,0.7090,0.0000,0.6577,,,,0.3749,,NÃO,43255
005622,SULASAÚDE PARTICIPAÇÕES S.A.,10060,Seguradora Especializada em Saúde,2013,0.5869,0.6675,0.7753,0.5990,,,,0.2251,,NÃO,42481
005622,SULASAÚDE PARTICIPAÇÕES S.A.,7666,Seguradora Especializada em Saúde,2014,0.5842,0.6316,0.7413,0.6478,,,,0.2689,,NÃO,35084
005622,SULASAÚDE PARTICIPAÇÕES S.A.,0,Seguradora Especializada em Saúde,2015,0.6121,0.5609,1.0000,0.6787,,,,0.2601,,NÃO,17894
005622,SULASAÚDE PARTICIPAÇÕES S.A.,0,Seguradora Especializada em Saúde,2016,,,,,,,,,,NÃO,0
005622,SULASAÚDE PARTICIPAÇÕES S.A.,0,Seguradora Especializada em Saúde,2017,,,,,,,,,,NÃO,0
005622,SULASAÚDE PARTICIPAÇÕES S.A.,0,Seguradora Especializada em Saúde,2018,,,,,,,,,,NÃO,0
005622,SULASAÚDE PARTICIPAÇÕES S.A.,0,Seguradora Especializada em Saúde,2019,,,,,,,,,,NÃO,0
005622,SULASAÚDE PARTICIPAÇÕES S.A.,0,Seguradora Especializada em Saúde,2020,,,,,,,,,,NÃO,0
005622,SULASAÚDE PARTICIPAÇÕES S.A.,0,Seguradora Especializada em Saúde,2021,,,,,,,,,,NÃO,0
005622,SULASAÚDE PARTICIPAÇÕES S.A.,0,Seguradora Especializada em Saúde,2022,,,,,,,,,,NÃO,0
005622,SULASAÚDE PARTICIPAÇÕES S.A.,0,Seguradora Especializada em Saúde,2023,,,,,,,,,,NÃO,0
005622,SULASAÚDE PARTICIPAÇÕES S.A.,0,Seguradora Especializada em Saúde,2024,,,,,,,,,,NÃO,0
005622,SULASAÚDE PARTICIPAÇÕES S.A.,0,Seguradora Especializada em Saúde,2025,,,,,,,,,,NÃO,0
005711,BRADESCO SAÚDE S.A.,0,Seguradora Especializada em Saúde,2011,,,,,,,,,,NÃO,16
005711,BRADESCO SAÚDE S.A.,1,Seguradora Especializada em Saúde,2012,0.7803,0.9043,0.5959,0.7794,,,,0.7174,,NÃO,1
005711,BRADESCO SAÚDE S.A.,66,Seguradora Especializada em Saúde,2013,0.7327,0.8756,0.5714,0.7067,,,,0.6344,,NÃO,235
005711,BRADESCO SAÚDE S.A.,97,Seguradora Especializada em Saúde,2014,0.7881,1.0000,0.7104,0.7238,,,,0.5065,,NÃO,328
005711,BRADESCO SAÚDE S.A.,212,Seguradora Especializada em Saúde,2015,0.8130,1.0000,1.0000,0.7157,,,,0.3493,,NÃO,549
005711,BRADESCO SAÚDE S.A.,0,Seguradora Especializada em Saúde,2016,0.8820,,,,0.9045,1.0000,0.7571,,0.8664,NÃO,429
005711,BRADESCO SAÚDE S.A.,0,Seguradora Especializada em Saúde,2017,0.8996,,,,0.7393,1.0000,0.9953,,0.8640,NÃO,0
005711,BRADESCO SAÚDE S.A.,0,Seguradora Especializada em Saúde,2018,0.9614,,,,0.4961,0.8111,0.9381,,1.0000,NÃO,0
005711,BRADESCO SAÚDE S.A.,0,Seguradora Especializada em Saúde,2019,1.0000,,,,0.4894,0.7355,0.8060,,0.8485,NÃO,0
005711,BRADESCO SAÚDE S.A.,0,Seguradora Especializada em Saúde,2020,0.8892,,,,0.3209,0.4721,0.4856,,1.0000,NÃO,0
005711,BRADESCO SAÚDE S.A.,0,Seguradora Especializada em Saúde,2021,1.0000,,,,0.8907,0.7683,0.7548,,1.0000,NÃO,0
005711,BRADESCO SAÚDE S.A.,0,Seguradora Especializada em Saúde,2022,1.0000,,,,0.8835,0.5500,0.7667,,1.0000,NÃO,0
005711,BRADESCO SAÚDE S.A.,0,Seguradora Especializada em Saúde,2023,1.0000,,,,0.7162,0.8013,0.7602,,1.0000,NÃO,0
005711,BRADESCO SAÚDE S.A.,0,Seguradora Especializada em Saúde,2024,0.7626,,,,0.5834,0.5388,0.7791,,1.0000,NÃO,0
005711,BRADESCO SAÚDE S.A.,0,Seguradora Especializada em Saúde,2025,0.8112,,,,0.6396,0.8240,0.7897,,1.0000,NÃO,0
006246,SUL AMERICA COMPANHIA DE SEGURO SAÚDE,3809,Seguradora Especializada em Saúde,2011,,,,,,,,,,NÃO,9672
006246,SUL AMERICA COMPANHIA DE SEGURO SAÚDE,10527,Seguradora Especializada em Saúde,2012,0.5550,0.8746,0.0000,0.5969,,,,0.4287,,NÃO,25249
006246,SUL AMERICA COMPANHIA DE SEGURO SAÚDE,268346,Seguradora Especializada em Saúde,2013,0.6577,0.8173,0.7865,0.6140,,,,0.2533,,NÃO,804591
006246,SUL AMERICA COMPANHIA DE SEGURO SAÚDE,290513,Seguradora Especializada em Saúde,2014,0.6602,0.7499,0.8421,0.6578,,,,0.3013,,NÃO,1134314
006246,SUL AMERICA COMPANHIA DE SEGURO SAÚDE,283407,Seguradora Especializada em Saúde,2015,0.6830,0.7131,1.0000,0.6794,,,,0.3092,,NÃO,1137673
006246,SUL AMERICA COMPANHIA DE SEGURO SAÚDE,336584,Seguradora Especializada em Saúde,2016,0.8118,,,,0.8318,0.9404,0.6021,,0.8730,NÃO,1197717
006246,SUL AMERICA COMPANHIA DE SEGURO SAÚDE,522549,Seguradora Especializada em Saúde,2017,0.8427,,,,0.6523,0.9495,0.9051,,0.8640,NÃO,1716784
006246,SUL AMERICA COMPANHIA DE SEGURO SAÚDE,796197,Seguradora Especializada em Saúde,2018,0.7437,,,,0.3648,0.8126,0.8433,,1.0000,NÃO,2713036
006246,SUL AMERICA COMPANHIA DE SEGURO SAÚDE,943998,Seguradora Especializada em Saúde,2019,0.7389,,,,0.4620,0.8864,0.7056,,1.0000,NÃO,3615605
006246,SUL AMERICA COMPANHIA DE SEGURO SAÚDE,1221518,Seguradora Especializada em Saúde,2020,0.8039,,,,0.5576,0.8359,0.8436,,1.0000,NÃO,4288571
006246,SUL AMERICA COMPANHIA DE SEGURO SAÚDE,1383990,Seguradora Especializada em Saúde,2021,0.8183,,,,0.5495,0.7621,0.9241,,1.0000,NÃO,5328908
006246,SUL AMERICA COMPANHIA DE SEGURO SAÚDE,1503454,Seguradora Especializada em Saúde,2022,0.8297,,,,0.5371,0.8471,0.9463,,1.0000,NÃO,5837584
006246,SUL AMERICA COMPANHIA DE SEGURO SAÚDE,1642247,Seguradora Especializada em Saúde,2023,0.7080,,,,0.4831,0.8547,0.9134,,0.6785,NÃO,6433262
006246,SUL AMERICA COMPANHIA DE SEGURO SAÚDE,1959203,Seguradora Especializada em Saúde,2024,0.7593,,,,0.5438,0.5613,0.8003,,1.0000,NÃO,7104213
006246,SUL AMERICA COMPANHIA DE SEGURO SAÚDE,2175899,Seguradora Especializada em Saúde,2025,0.8297,,,,0.6403,0.9166,0.8198,,1.0000,NÃO,6207421
300195,UNIODONTO MACAÉ - COOPERATIVA ODONTOLÓGICA,47285,Cooperativa Odontológica,2011,,,,,,,,,,SIM,137482
300195,UNIODONTO MACAÉ - COOPERATIVA ODONTOLÓGICA,32615,Cooperativa Odontológica,2012,0.8578,0.7980,0.9173,0.8426,,,,0.9333,,SIM,149559
300195,UNIODONTO MACAÉ - COOPERATIVA ODONTOLÓGICA,29950,Cooperativa Odontológica,2013,0.7563,0.7866,0.8481,0.7010,,,,0.6591,,SIM,116091
300195,UNIODONTO MACAÉ - COOPERATIVA ODONTOLÓGICA,25899,Cooperativa Odontológica,2014,0.8142,0.7529,0.8536,0.7162,,,,0.9953,,SIM,96676
300195,UNIODONTO MACAÉ - COOPERATIVA ODONTOLÓGICA,24492,Cooperativa Odontológica,2015,0.8315,0.7309,1.0000,0.7218,,,,0.9738,,SIM,99819
300195,UNIODONTO MACAÉ - COOPERATIVA ODONTOLÓGICA,19237,Cooperativa Odontológica,2016,0.8062,,,,0.8235,0.8563,0.5639,,0.9812,SIM,85517
300195,UNIODONTO MACAÉ - COOPERATIVA ODONTOLÓGICA,13248,Cooperativa Odontológica,2017,0.8021,,,,0.8813,0.3333,1.0000,,0.9940,SIM,58474
300195,UNIODONTO MACAÉ - COOPERATIVA ODONTOLÓGICA,12126,Cooperativa Odontológica,2018,0.7205,,,,0.3806,0.9766,0.7055,,0.9900,SIM,50883
300195,UNIODONTO MACAÉ - COOPERATIVA ODONTOLÓGICA,8393,Cooperativa Odontológica,2019,0.7222,,,,0.3747,0.9812,0.7107,,0.9950,SIM,37605
300195,UNIODONTO MACAÉ - COOPERATIVA ODONTOLÓGICA,6462,Cooperativa Odontológica,2020,0.7731,,,,0.5434,0.9825,0.7111,,0.9950,SIM,27854
300195,UNIODONTO MACAÉ - COOPERATIVA ODONTOLÓGICA,5570,Cooperativa Odontológica,2021,0.6992,,,,0.4263,0.5839,0.7224,,0.9875,SIM,23147
300195,UNIODONTO MACAÉ - COOPERATIVA ODONTOLÓGICA,5745,Cooperativa Odontológica,2022,0.6744,,,,0.4411,0.5763,0.6398,,0.9750,SIM,23243
300195,UNIODONTO MACAÉ - COOPERATIVA ODONTOLÓGICA,5541,Cooperativa Odontológica,2023,0.5524,,,,0.4229,0.9362,0.6065,,0.5000,SIM,22625
300195,UNIODONTO MACAÉ - COOPERATIVA ODONTOLÓGICA,5951,Cooperativa Odontológica,2024,0.5278,,,,0.4043,0.9362,0.5288,,0.5142,SIM,22646
300195,UNIODONTO MACAÉ - COOPERATIVA ODONTOLÓGICA,0,Cooperativa Odontológica,2025,,,,,,,,,,SIM,0
300365,METODONT - ASSISTÊNCIA ODONTOLOGICA LTDA,4173,Odontologia de Grupo,2011,,,,,,,,,,NÃO,12473
300365,METODONT - ASSISTÊNCIA ODONTOLOGICA LTDA,4205,Odontologia de Grupo,2012,0.1923,0.0000,0.7474,0.2142,,,,0.0000,,NÃO,16801
300365,METODONT - ASSISTÊNCIA ODONTOLOGICA LTDA,4213,Odontologia de Grupo,2013,0.5714,0.3783,0.8267,0.2738,,,,1.0000,,NÃO,16844
300365,METODONT - ASSISTÊNCIA ODONTOLOGICA LTDA,4232,Odontologia de Grupo,2014,0.4408,0.0000,0.8560,0.3482,,,,1.0000,,NÃO,16871
300365,METODONT - ASSISTÊNCIA ODONTOLOGICA LTDA,4302,Odontologia de Grupo,2015,0.6509,0.6558,0.6315,0.3113,,,,1.0000,,NÃO,17105
300365,METODONT - ASSISTÊNCIA ODONTOLOGICA LTDA,4356,Odontologia de Grupo,2016,0.3644,,,,0.0000,0.5479,0.0000,,0.9097,NÃO,17346
300365,METODONT - ASSISTÊNCIA ODONTOLOGICA LTDA,4396,Odontologia de Grupo,2017,0.3700,,,,0.5000,0.3055,0.0000,,0.6746,NÃO,17528
300365,METODONT - ASSISTÊNCIA ODONTOLOGICA LTDA,4427,Odontologia de Grupo,2018,0.2970,,,,0.0000,0.0000,0.0000,,0.9900,NÃO,17650
300365,METODONT - ASSISTÊNCIA ODONTOLOGICA LTDA,300,Odontologia de Grupo,2019,,,,,,,,,,NÃO,9922
300365,METODONT - ASSISTÊNCIA ODONTOLOGICA LTDA,300,Odontologia de Grupo,2020,,,,,,,,,,NÃO,1200
300365,METODONT - ASSISTÊNCIA ODONTOLOGICA LTDA,0,Odontologia de Grupo,2021,,,,,,,,,,NÃO,300
300365,METODONT - ASSISTÊNCIA ODONTOLOGICA LTDA,0,Odontologia de Grupo,2022,,,,,,,,,,NÃO,0
300365,METODONT - ASSISTÊNCIA ODONTOLOGICA LTDA,0,Odontologia de Grupo,2023,,,,,,,,,,NÃO,0
300365,METODONT - ASSISTÊNCIA ODONTOLOGICA LTDA,0,Odontologia de Grupo,2024,,,,,,,,,,NÃO,0
300365,METODONT - ASSISTÊNCIA ODONTOLOGICA LTDA,0,Odontologia de Grupo,2025,,,,,,,,,,NÃO,0
300730,DENTAL GOLD ASSISTÊNCIA ODONTOLÓGICA LTDA.,26856,Odontologia de Grupo,2011,,,,,,,,,,NÃO,83036
300730,DENTAL GOLD ASSISTÊNCIA ODONTOLÓGICA LTDA.,25291,Odontologia de Grupo,2012,0.5406,0.5983,0.0000,0.6469,,,,0.8597,,NÃO,95617
300730,DENTAL GOLD ASSISTÊNCIA ODONTOLÓGICA LTDA.,28033,Odontologia de Grupo,2013,0.4070,0.6139,0.0000,0.2131,,,,0.5941,,NÃO,106784
300730,DENTAL GOLD ASSISTÊNCIA ODONTOLÓGICA LTDA.,33242,Odontologia de Grupo,2014,0.5258,0.4830,0.6550,0.6392,,,,0.9581,,NÃO,125001
300730,DENTAL GOLD ASSISTÊNCIA ODONTOLÓGICA LTDA.,39541,Odontologia de Grupo,2015,0.5476,0.3711,0.3333,0.7001,,,,0.9622,,NÃO,149965
300730,DENTAL GOLD ASSISTÊNCIA ODONTOLÓGICA LTDA.,33966,Odontologia de Grupo,2016,0.3972,,,,0.1630,0.8038,0.0000,,0.7689,NÃO,137977
300730,DENTAL GOLD ASSISTÊNCIA ODONTOLÓGICA LTDA.,38155,Odontologia de Grupo,2017,0.6186,,,,0.7728,0.8049,0.0000,,0.8967,NÃO,135097
300730,DENTAL GOLD ASSISTÊNCIA ODONTOLÓGICA LTDA.,41795,Odontologia de Grupo,2018,0.3996,,,,0.2041,0.7676,0.2410,,0.8481,NÃO,162858
300730,DENTAL GOLD ASSISTÊNCIA ODONTOLÓGICA LTDA.,43943,Odontologia de Grupo,2019,0.3013,,,,0.2067,0.7482,0.3050,,0.5177,NÃO,171236
300730,DENTAL GOLD ASSISTÊNCIA ODONTOLÓGICA LTDA.,39622,Odontologia de Grupo,2020,0.2236,,,,0.2811,0.7533,0.4640,,0.1666,NÃO,162864
300730,DENTAL GOLD ASSISTÊNCIA ODONTOLÓGICA LTDA.,41720,Odontologia de Grupo,2021,0.5074,,,,0.1973,0.7619,0.2525,,0.9875,NÃO,162925
300730,DENTAL GOLD ASSISTÊNCIA ODONTOLÓGICA LTDA.,41488,Odontologia de Grupo,2022,0.6740,,,,0.6540,0.8000,0.9395,,0.9750,NÃO,166171
300730,DENTAL GOLD ASSISTÊNCIA ODONTOLÓGICA LTDA.,45633,Odontologia de Grupo,2023,0.7736,,,,0.3247,0.8000,1.0000,,0.9875,NÃO,176906
300730,DENTAL GOLD ASSISTÊNCIA ODONTOLÓGICA LTDA.,48762,Odontologia de Grupo,2024,0.7786,,,,0.4106,0.8012,1.0000,,0.9178,NÃO,188995
300730,DENTAL GOLD ASSISTÊNCIA ODONTOLÓGICA LTDA.,51353,Odontologia de Grupo,2025,0.8562,,,,0.6649,0.8136,1.0000,,0.9178,NÃO,150395
300951,ORAL HEALTH SISTEMA INTEGRADO DE ASSISTÊNCI,3534,,2011,,,,,,,,,,NÃO,11793
300951,ORAL HEALTH SISTEMA INTEGRADO DE ASSISTÊNCI,463,,2012,,,,,,,,,,NÃO,1852
300951,ORAL HEALTH SISTEMA INTEGRADO DE ASSISTÊNCI,0,,2013,,,,,,,,,,NÃO,0
300951,ORAL HEALTH SISTEMA INTEGRADO DE ASSISTÊNCI,0,,2014,,,,,,,,,,NÃO,0
300951,ORAL HEALTH SISTEMA INTEGRADO DE ASSISTÊNCI,0,,2015,,,,,,,,,,NÃO,0
300951,ORAL HEALTH SISTEMA INTEGRADO DE ASSISTÊNCI,0,,2016,,,,,,,,,,NÃO,0
300951,ORAL HEALTH SISTEMA INTEGRADO DE ASSISTÊNCI,0,,2017,,,,,,,,,,NÃO,0
300951,ORAL HEALTH SISTEMA INTEGRADO DE ASSISTÊNCI,0,,2018,,,,,,,,,,NÃO,0
300951,ORAL HEALTH SISTEMA INTEGRADO DE ASSISTÊNCI,0,,2019,,,,,,,,,,NÃO,0
300951,ORAL HEALTH SISTEMA INTEGRADO DE ASSISTÊNCI,0,,2020,,,,,,,,,,NÃO,0
300951,ORAL HEALTH SISTEMA INTEGRADO DE ASSISTÊNCI,0,,2021,,,,,,,,,,NÃO,0
300951,ORAL HEALTH SISTEMA INTEGRADO DE ASSISTÊNCI,0,,2022,,,,,,,,,,NÃO,0
300951,ORAL HEALTH SISTEMA INTEGRADO DE ASSISTÊNCI,0,,2023,,,,,,,,,,NÃO,0
300951,ORAL HEALTH SISTEMA INTEGRADO DE ASSISTÊNCI,0,,2024,,,,,,,,,,NÃO,0
300951,ORAL HEALTH SISTEMA INTEGRADO DE ASSISTÊNCI,0,,2025,,,,,,,,,,NÃO,0
301213,SER ÚNICO - PLANOS ODONTOLÓGICOS S/S LTDA.,1405,Odontologia de Grupo,2011,,,,,,,,,,NÃO,3973
301213,SER ÚNICO - PLANOS ODONTOLÓGICOS S/S LTDA.,1039,Odontologia de Grupo,2012,0.2843,0.0000,0.0000,0.4761,,,,0.9454,,NÃO,5901
301213,SER ÚNICO - PLANOS ODONTOLÓGICOS S/S LTDA.,973,Odontologia de Grupo,2013,0.7215,0.7888,0.6396,0.4761,,,,0.9142,,NÃO,3857
301213,SER ÚNICO - PLANOS ODONTOLÓGICOS S/S LTDA.,1110,Odontologia de Grupo,2014,0.4926,0.0000,0.8531,0.6384,,,,0.9714,,NÃO,4584
301213,SER ÚNICO - PLANOS ODONTOLÓGICOS S/S LTDA.,938,Odontologia de Grupo,2015,0.8418,0.8848,0.6666,0.7726,,,,1.0000,,NÃO,4020
301213,SER ÚNICO - PLANOS ODONTOLÓGICOS S/S LTDA.,604,Odontologia de Grupo,2016,,,,,,,,,,NÃO,3207
301213,SER ÚNICO - PLANOS ODONTOLÓGICOS S/S LTDA.,0,Odontologia de Grupo,2017,,,,,,,,,,NÃO,312
301213,SER ÚNICO - PLANOS ODONTOLÓGICOS S/S LTDA.,0,Odontologia de Grupo,2018,,,,,,,,,,NÃO,0
301213,SER ÚNICO - PLANOS ODONTOLÓGICOS S/S LTDA.,0,Odontologia de Grupo,2019,,,,,,,,,,NÃO,0
301213,SER ÚNICO - PLANOS ODONTOLÓGICOS S/S LTDA.,0,Odontologia de Grupo,2020,,,,,,,,,,NÃO,0
301213,SER ÚNICO - PLANOS ODONTOLÓGICOS S/S LTDA.,0,Odontologia de Grupo,2021,,,,,,,,,,NÃO,0
301213,SER ÚNICO - PLANOS ODONTOLÓGICOS S/S LTDA.,0,Odontologia de Grupo,2022,,,,,,,,,,NÃO,0
301213,SER ÚNICO - PLANOS ODONTOLÓGICOS S/S LTDA.,0,Odontologia de Grupo,2023,,,,,,,,,,NÃO,0
301213,SER ÚNICO - PLANOS ODONTOLÓGICOS S/S LTDA.,0,Odontologia de Grupo,2024,,,,,,,,,,NÃO,0
301213,SER ÚNICO - PLANOS ODONTOLÓGICOS S/S LTDA.,0,Odontologia de Grupo,2025,,,,,,,,,,NÃO,0
301591,DENTAL CENTER SERVIÇOS ODONTOLOGICOS LTDA.,34902,Odontologia de Grupo,2011,,,,,,,,,,NÃO,107261
301591,DENTAL CENTER SERVIÇOS ODONTOLOGICOS LTDA.,46794,Odontologia de Grupo,2012,0.7522,0.6276,0.9323,0.6422,,,,0.9312,,NÃO,164381
301591,DENTAL CENTER SERVIÇOS ODONTOLOGICOS LTDA.,58750,Odontologia de Grupo,2013,0.6865,0.8165,0.5049,0.6596,,,,0.6351,,NÃO,220397
301591,DENTAL CENTER SERVIÇOS ODONTOLOGICOS LTDA.,56743,Odontologia de Grupo,2014,0.7991,0.7717,0.7991,0.6793,,,,0.9739,,NÃO,230877
301591,DENTAL CENTER SERVIÇOS ODONTOLOGICOS LTDA.,44813,Odontologia de Grupo,2015,0.8533,0.8321,0.9776,0.6531,,,,0.9716,,NÃO,204260
301591,DENTAL CENTER SERVIÇOS ODONTOLOGICOS LTDA.,0,Odontologia de Grupo,2016,,,,,,,,,,NÃO,0
301591,DENTAL CENTER SERVIÇOS ODONTOLOGICOS LTDA.,0,Odontologia de Grupo,2017,,,,,,,,,,NÃO,0
301591,DENTAL CENTER SERVIÇOS ODONTOLOGICOS LTDA.,0,Odontologia de Grupo,2018,,,,,,,,,,NÃO,0
301591,DENTAL CENTER SERVIÇOS ODONTOLOGICOS LTDA.,0,Odontologia de Grupo,2019,,,,,,,,,,NÃO,0
301591,DENTAL CENTER SERVIÇOS ODONTOLOGICOS LTDA.,0,Odontologia de Grupo,2020,,,,,,,,,,NÃO,0
301591,DENTAL CENTER SERVIÇOS ODONTOLOGICOS LTDA.,0,Odontologia de Grupo,2021,,,,,,,,,,NÃO,0
301591,DENTAL CENTER SERVIÇOS ODONTOLOGICOS LTDA.,0,Odontologia de Grupo,2022,,,,,,,,,,NÃO,0
301591,DENTAL CENTER SERVIÇOS ODONTOLOGICOS LTDA.,0,Odontologia de Grupo,2023,,,,,,,,,,NÃO,0
301591,DENTAL CENTER SERVIÇOS ODONTOLOGICOS LTDA.,0,Odontologia de Grupo,2024,,,,,,,,,,NÃO,0
301591,DENTAL CENTER SERVIÇOS ODONTOLOGICOS LTDA.,0,Odontologia de Grupo,2025,,,,,,,,,,NÃO,0
301647,UNIODONTO FERNANDÓPOLIS,11260,Cooperativa Odontológica,2011,,,,,,,,,,SIM,33440
301647,UNIODONTO FERNANDÓPOLIS,11135,Cooperativa Odontológica,2012,0.5989,0.5033,0.3362,0.6802,,,,0.9713,,SIM,45463
301647,UNIODONTO FERNANDÓPOLIS,10513,Cooperativa Odontológica,2013,0.7323,0.5104,0.9416,0.7152,,,,0.9841,,SIM,42695
301647,UNIODONTO FERNANDÓPOLIS,3436,Cooperativa Odontológica,2014,0.7310,0.4939,0.9718,0.7173,,,,0.9781,,SIM,27122
301647,UNIODONTO FERNANDÓPOLIS,3670,Cooperativa Odontológica,2015,0.8203,0.6387,1.0000,0.8513,,,,0.9728,,SIM,14357
301647,UNIODONTO FERNANDÓPOLIS,3534,Cooperativa Odontológica,2016,0.8894,,,,0.6800,0.9405,0.9467,,0.9906,SIM,14772
301647,UNIODONTO FERNANDÓPOLIS,3525,Cooperativa Odontológica,2017,0.9484,,,,0.7937,1.0000,1.0000,,1.0000,SIM,13997
301647,UNIODONTO FERNANDÓPOLIS,3234,Cooperativa Odontológica,2018,0.7907,,,,0.4169,0.6562,1.0000,,1.0000,SIM,13033
301647,UNIODONTO FERNANDÓPOLIS,2987,Cooperativa Odontológica,2019,0.7842,,,,0.4371,0.5310,1.0000,,1.0000,SIM,12431
301647,UNIODONTO FERNANDÓPOLIS,2922,Cooperativa Odontológica,2020,0.8482,,,,0.6368,0.5717,1.0000,,1.0000,SIM,11804
301647,UNIODONTO FERNANDÓPOLIS,2675,Cooperativa Odontológica,2021,0.8905,,,,0.6423,0.9780,1.0000,,1.0000,SIM,11008
301647,UNIODONTO FERNANDÓPOLIS,2363,Cooperativa Odontológica,2022,0.8690,,,,0.6731,0.9270,0.9271,,0.9875,SIM,9733
301647,UNIODONTO FERNANDÓPOLIS,2257,Cooperativa Odontológica,2023,0.8892,,,,0.7582,0.9289,0.9087,,0.9875,SIM,9161
